window_id,start,duration,bucket,alias,unit_a_file,unit_a_segment,unit_b_file,unit_b_segment,unit_c_file,unit_c_segment,note
2025_05_08_112000,,,60-70pct,001,m_20250508_111320_001.mat,001,Power_C9_2025_05_08_112000.mat,,Power_C10_2025_05_08_112000.mat,,
2025_05_08_122000,,,70-80pct,007,m_20250508_111320_007.mat,007,Power_C9_2025_05_08_122000.mat,,Power_C10_2025_05_08_122000.mat,,
2025_05_08_125000,,,70-80pct,010,m_20250508_111320_010.mat,010,Power_C9_2025_05_08_125000.mat,,Power_C10_2025_05_08_125000.mat,,
2025_05_08_134000,,,50-60pct,015,m_20250508_111320_015.mat,015,Power_C9_2025_05_08_134000.mat,,Power_C10_2025_05_08_134000.mat,,
2025_05_08_213000,,,50-60pct,062,m_20250508_111320_062.mat,062,Power_C9_2025_05_08_212959.mat,,Power_C10_2025_05_08_212959.mat,,
2025_05_08_220000,,,60-70pct,065,m_20250508_111320_065.mat,065,Power_C9_2025_05_08_215959.mat,,Power_C10_2025_05_08_215959.mat,,
2025_05_08_234000,,,40-50pct,075,m_20250508_111320_075.mat,075,Power_C9_2025_05_08_233959.mat,,Power_C10_2025_05_08_233959.mat,,
2025_05_09_020000,,,40-50pct,089,m_20250508_111320_089.mat,089,Power_C9_2025_05_09_015959.mat,,Power_C10_2025_05_09_015959.mat,,
2025_05_09_131000,,,10-20pct,156,m_20250508_111320_156.mat,156,Power_C9_2025_05_09_130959.mat,,Power_C10_2025_05_09_131000.mat,,
2025_05_09_151000,,,00-10pct,168,m_20250508_111320_168.mat,168,Power_C9_2025_05_09_150959.mat,,Power_C10_2025_05_09_151000.mat,,
2025_05_10_095000,,,30-40pct,280,m_20250508_111320_280.mat,280,Power_C9_2025_05_10_094958.mat,,Power_C10_2025_05_10_095002.mat,,
2025_05_11_023000,,,80-90pct,380,m_20250508_111320_380.mat,380,Power_C9_2025_05_11_022958.mat,,Power_C10_2025_05_11_023002.mat,,
2025_05_11_025000,,,80-90pct,382,m_20250508_111320_382.mat,382,Power_C9_2025_05_11_024958.mat,,Power_C10_2025_05_11_025002.mat,,
2025_05_11_184000,,,30-40pct,477,m_20250508_111320_477.mat,477,Power_C9_2025_05_11_183957.mat,,Power_C10_2025_05_11_184001.mat,,
2025_05_11_233000,,,20-30pct,506,m_20250508_111320_506.mat,506,Power_C9_2025_05_11_232957.mat,,Power_C10_2025_05_11_233003.mat,,
2025_05_12_022000,,,00-10pct,523,m_20250508_111320_523.mat,523,Power_C9_2025_05_12_021957.mat,,Power_C10_2025_05_12_022000.mat,,
2025_05_12_033000,,,10-20pct,530,m_20250508_111320_530.mat,530,Power_C9_2025_05_12_032957.mat,,Power_C10_2025_05_12_033000.mat,,
2025_05_12_084000,,,20-30pct,561,m_20250508_111320_561.mat,561,Power_C9_2025_05_12_083957.mat,,Power_C10_2025_05_12_084001.mat,,
